titulo;diretor;ano;orcamento;faturamento;nota
Monsters vs. Aliens ;Rob Letterman;2009;175000000;198332128;6,5
Iron Man ;Jon Favreau;2008;140000000;318298180;7,9
Hugo ;Martin Scorsese;2011;170000000; 73820094;7,5
Wild Wild West ;Barry Sonnenfeld;1999;170000000;113745408;4,8
The Mummy: Tomb of the Dragon Emperor ;Rob Cohen;2008;145000000;102176165;5,2
Suicide Squad ;David Ayer;2016;175000000;161087183;6,9
Evan Almighty ;Tom Shadyac;2007;175000000;100289690;5,4
Edge of Tomorrow ;Doug Liman;2014;178000000;100189501;7,9
Waterworld ;Kevin Reynolds;1995;175000000; 88246220;6,1
G.I. Joe: The Rise of Cobra ;Stephen Sommers;2009;175000000;150167630;5,8
Inside Out ;Pete Docter;2015;175000000;356454367;8,3
The Jungle Book ;Jon Favreau;2016;175000000;362645141;7,8
Iron Man 2 ;Jon Favreau;2010;200000000;312057433;7,0
Snow White and the Huntsman ;Rupert Sanders;2012;170000000;155111815;6,1
Maleficent ;Robert Stromberg;2014;180000000;241407328;7,0
Dawn of the Planet of the Apes ;Matt Reeves;2014;170000000;208543795;7,6
47 Ronin ;Carl Rinsch;2013;175000000; 38297305;6,3
Captain America: The Winter Soldier ;Anthony Russo;2014;170000000;259746958;7,8
Shrek Forever After ;Mike Mitchell;2010;165000000;238371987;6,4
Tomorrowland ;Brad Bird;2015;190000000; 93417865;6,5
Big Hero 6 ;Don Hall;2014;165000000;222487711;7,9
Wreck-It Ralph ;Rich Moore;2012;165000000;189412677;7,8
The Polar Express ;Robert Zemeckis;2004;165000000;   665426;6,6
Independence Day: Resurgence ;Roland Emmerich;2016;165000000;102315545;5,5
How to Train Your Dragon ;Dean DeBlois;2010;165000000;217387997;8,2
Terminator 3: Rise of the Machines ;Jonathan Mostow;2003;200000000;150350192;6,4
Guardians of the Galaxy ;James Gunn;2014;170000000;333130696;8,1
Interstellar ;Christopher Nolan;2014;165000000;187991439;8,6
Inception ;Christopher Nolan;2010;160000000;292568851;8,8
The Hobbit: An Unexpected Journey ;Peter Jackson;2012;180000000;303001229;7,9
The Fast and the Furious ;Rob Cohen;2001; 38000000;144512310;6,7
The Curious Case of Benjamin Button ;David Fincher;2008;150000000;127490802;7,8
X-Men: First Class ;Matthew Vaughn;2011;160000000;146405371;7,8
The Hunger Games: Mockingjay - Part 2 ;Francis Lawrence;2015;160000000;281666058;6,6
The Sorcerer's Apprentice ;Jon Turteltaub;2010;150000000; 63143812;6,1
Poseidon ;Wolfgang Petersen;2006;160000000; 60655503;5,6
Alice Through the Looking Glass ;James Bobin;2016;170000000; 76846624;6,4
Shrek the Third ;Chris Miller;2007;160000000;320706665;6,1
Warcraft ;Duncan Jones;2016;160000000; 46978995;7,3
Terminator Genisys ;Alan Taylor;2015;155000000; 89732035;6,6
The Chronicles of Narnia: The Voyage of the Dawn Treader ;Michael Apted;2010;155000000;104383624;6,3
Pearl Harbor ;Michael Bay;2001;140000000;198539855;6,1
Transformers ;Michael Bay;2007;150000000;318759914;7,1
Alexander ;Oliver Stone;2004;155000000; 34293771;5,5
Harry Potter and the Order of the Phoenix ;David Yates;2007;150000000;292000866;7,5
Harry Potter and the Goblet of Fire ;Mike Newell;2005;150000000;289994397;7,6
Hancock ;Peter Berg;2008;150000000;227946274;6,4
I Am Legend ;Francis Lawrence;2007;150000000;256386216;7,2
Charlie and the Chocolate Factory ;Tim Burton;2005;150000000;206456431;6,7
Ratatouille ;Brad Bird;2007;150000000;206435493;8,0
Batman Begins ;Christopher Nolan;2005;150000000;205343774;8,3
Madagascar: Escape 2 Africa ;Eric Darnell;2008;150000000;179982968;6,7
Night at the Museum: Battle of the Smithsonian ;Shawn Levy;2009;150000000;177243721;5,9
X-Men Origins: Wolverine ;Gavin Hood;2009;150000000;179883016;6,7
The Matrix Revolutions ;Lana Wachowski;2003;150000000;139259759;6,7
Frozen ;Chris Buck;2013;150000000;400736600;7,6
The Matrix Reloaded ;Lana Wachowski;2003;150000000;281492479;7,2
Thor: The Dark World ;Alan Taylor;2013;170000000;206360018;7,1
Mad Max: Fury Road ;George Miller;2015;150000000;153629485;8,1
Angels & Demons ;Ron Howard;2009;150000000;133375846;6,7
Thor ;Kenneth Branagh;2011;150000000;181015141;7,0
Bolt ;Byron Howard;2008;150000000;114053579;6,9
G-Force ;Hoyt Yeatman;2009;150000000;119420252;5,1
Wrath of the Titans ;Jonathan Liebesman;2012;150000000; 83640426;5,8
Dark Shadows ;Tim Burton;2012;100000000; 79711678;6,2
Mission: Impossible - Rogue Nation ;Christopher McQuarrie;2015;150000000;195000874;7,4
The Wolfman ;Joe Johnston;2010;150000000; 61937495;5,8
The Legend of Tarzan ;David Yates;2016;180000000;124051759;6,6
Bee Movie ;Steve Hickner;2007;150000000;126597121;6,2
Kung Fu Panda 2 ;Jennifer Yuh Nelson;2011;150000000;165230261;7,3
The Last Airbender ;M. Night Shyamalan;2010;150000000;131564731;4,2
Mission: Impossible III ;J.J. Abrams;2006;150000000;133382309;6,9
White House Down ;Roland Emmerich;2013;150000000; 73103784;6,4
Mars Needs Moms ;Simon Wells;2011;150000000; 21379315;5,4
Flushed Away ;David Bowers;2006;149000000; 64459316;6,7
Pan ;Joe Wright;2015;150000000; 34964818;5,8
Mr. Peabody & Sherman ;Rob Minkoff;2014;145000000;111505642;6,9
Troy ;Wolfgang Petersen;2004;175000000;133228348;7,2
Madagascar 3: Europe's Most Wanted ;Eric Darnell;2012;145000000;216366733;6,9
Die Another Day ;Lee Tamahori;2002;142000000;160201106;6,1
Ghostbusters ;Paul Feig;2016;144000000;118099659;5,5
Armageddon ;Michael Bay;1998;140000000;201573391;6,6
Men in Black II ;Barry Sonnenfeld;2002;140000000;190418803;6,1
Beowulf ;Robert Zemeckis;2007;150000000; 82161969;6,3
Kung Fu Panda 3 ;Alessandro Carloni;2016;145000000;143523463;7,2
Mission: Impossible - Ghost Protocol ;Brad Bird;2011;145000000;209364921;7,4
Rise of the Guardians ;Peter Ramsey;2012;145000000;103400692;7,3
Fun with Dick and Jane ;Dean Parisot;2005;100000000;110332737;6,1
The Last Samurai ;Edward Zwick;2003;140000000;111110575;7,7
Exodus: Gods and Kings ;Ridley Scott;2014;140000000; 65007045;6,1
Star Trek ;J.J. Abrams;2009;150000000;257704099;8,0
Spider-Man ;Sam Raimi;2002;139000000;403706375;7,3
How to Train Your Dragon 2 ;Dean DeBlois;2014;145000000;176997107;7,9
Gods of Egypt ;Alex Proyas;2016;140000000; 31141074;5,5
Stealth ;Rob Cohen;2005;135000000; 31704416;5,0
Watchmen ;Zack Snyder;2009;130000000;107503316;7,7
Lethal Weapon 4 ;Richard Donner;1998;140000000;129734803;6,6
Hulk ;Ang Lee;2003;137000000;132122995;5,7
G.I. Joe: Retaliation ;Jon M. Chu;2013;130000000;122512052;5,8
Sahara ;Breck Eisner;2005;130000000; 68642452;6,0
Final Fantasy: The Spirits Within ;Hironobu Sakaguchi;2001;137000000; 32131830;6,4
Captain America: The First Avenger ;Joe Johnston;2011;140000000;176636816;6,9
The World Is Not Enough ;Michael Apted;1999;135000000;126930660;6,4
Master and Commander: The Far Side of the World ;Peter Weir;2003;150000000; 93926386;7,4
The Twilight Saga: Breaking Dawn - Part 2 ;Bill Condon;2012;120000000;292298923;5,5
Happy Feet 2 ;George Miller;2011;135000000; 63992328;5,9
The Incredible Hulk ;Louis Leterrier;2008;150000000;134518390;6,8
The BFG ;Steven Spielberg;2016;140000000; 52792307;6,8
The Revenant ;Alejandro G. Iñárritu;2015;135000000;183635922;8,1
Turbo ;David Soren;2013;135000000; 83024900;6,5
Rango ;Gore Verbinski;2011;135000000;123207194;7,2
Penguins of Madagascar ;Eric Darnell;2014;132000000; 83348920;6,7
The Bourne Ultimatum ;Paul Greengrass;2007;110000000;227137090;8,1
Kung Fu Panda ;Mark Osborne;2008;130000000;215395021;7,6
Ant-Man ;Peyton Reed;2015;130000000;180191634;7,4
The Hunger Games: Catching Fire ;Francis Lawrence;2013;130000000;424645577;7,6
The Twilight Saga: Breaking Dawn - Part 2 ;Bill Condon;2012;120000000;292298923;5,5
Home ;Tim Johnson;2015;135000000;177343675;6,7
War of the Worlds ;Steven Spielberg;2005;132000000;234277056;6,5
Bad Boys II ;Michael Bay;2003;130000000;138396624;6,6
Puss in Boots ;Chris Miller;2011;130000000;149234747;6,7
Salt ;Phillip Noyce;2010;110000000;118311368;6,4
Noah ;Darren Aronofsky;2014;125000000;101160529;5,8
The Adventures of Tintin ;Steven Spielberg;2011;135000000; 77564037;7,4
Harry Potter and the Prisoner of Azkaban ;Alfonso Cuarón;2004;130000000;249358727;7,8
Australia ;Baz Luhrmann;2008;130000000; 49551662;6,6
After Earth ;M. Night Shyamalan;2013;130000000; 60522097;4,9
Dinosaur ;Eric Leighton;2000;127500000;137748063;6,5
Night at the Museum: Secret of the Tomb ;Shawn Levy;2014;127000000;113733726;6,2
Megamind ;Tom McGrath;2010;130000000;148337537;7,3
Harry Potter and the Sorcerer's Stone ;Chris Columbus;2001;125000000;317557891;7,5
R.I.P.D. ;Robert Schwentke;2013;130000000; 33592415;5,6
Pirates of the Caribbean: The Curse of the Black Pearl ;Gore Verbinski;2003;140000000;305388685;8,1
The Hunger Games: Mockingjay - Part 1 ;Francis Lawrence;2014;125000000;337103873;6,7
The Da Vinci Code ;Ron Howard;2006;125000000;217536138;6,6
Rio 2 ;Carlos Saldanha;2014;103000000;131536019;6,4
X-Men 2 ;Bryan Singer;2003;110000000;214948780;7,5
Fast Five ;Justin Lin;2011;125000000;209805005;7,3
Sherlock Holmes: A Game of Shadows ;Guy Ritchie;2011;125000000;186830669;7,5
Clash of the Titans ;Louis Leterrier;2010;125000000;163192114;5,8
Total Recall ;Paul Verhoeven;1990; 65000000;119412921;7,5
The 13th Warrior ;John McTiernan;1999; 85000000; 32694788;6,6
The Bourne Legacy ;Tony Gilroy;2012;125000000;113165635;6,7
Batman & Robin ;Joel Schumacher;1997;125000000;107285004;3,7
How the Grinch Stole Christmas ;Ron Howard;2000;123000000;260031035;6,0
The Day After Tomorrow ;Roland Emmerich;2004;125000000;186739919;6,4
Mission: Impossible II ;John Woo;2000;125000000;215397307;6,1
The Perfect Storm ;Wolfgang Petersen;2000;140000000;182618434;6,4
Fantastic 4: Rise of the Silver Surfer ;Tim Story;2007;130000000;131920333;5,6
Life of Pi ;Ang Lee;2012;120000000;124976634;8,0
Ghost Rider ;Mark Steven Johnson;2007;110000000;115802596;5,2
Jason Bourne ;Paul Greengrass;2016;120000000;108521835;7,1
Charlie's Angels: Full Throttle ;McG;2003;120000000;100685880;4,8
Prometheus ;Ridley Scott;2012;130000000;126464904;7,0
Stuart Little 2 ;Rob Minkoff;2002;120000000; 64736114;5,4
Elysium ;Neill Blomkamp;2013;115000000; 93050117;6,6
The Chronicles of Riddick ;David Twohy;2004;105000000; 57637485;6,7
RoboCop ;José Padilha;2014;100000000; 58607007;6,2
Speed Racer ;Lana Wachowski;2008;120000000; 43929341;6,1
How Do You Know ;James L. Brooks;2010;120000000; 30212620;5,3
Knight and Day ;James Mangold;2010;117000000; 76418654;6,3
Oblivion ;Joseph Kosinski;2013;120000000; 89021735;7,0
Star Wars: Episode III - Revenge of the Sith ;George Lucas;2005;113000000;380262555;7,6
Star Wars: Episode II - Attack of the Clones ;George Lucas;2002;115000000;310675583;6,7
Monsters, Inc. ;Pete Docter;2001;115000000;289907418;8,1
The Wolverine ;James Mangold;2013;120000000;132550960;6,7
Star Wars: Episode I - The Phantom Menace ;George Lucas;1999;115000000;474544677;6,5
The Croods ;Kirk De Micco;2013;135000000;187165546;7,3
Windtalkers ;John Woo;2002;115000000; 40911830;6,0
The Huntsman: Winter's War ;Cedric Nicolas-Troyan;2016;115000000; 47952020;6,1
Teenage Mutant Ninja Turtles ;Jonathan Liebesman;2014;125000000;190871240;5,9
Gravity ;Alfonso Cuarón;2013;100000000;274084951;7,8
Dante's Peak ;Roger Donaldson;1997;116000000; 67155742;5,8
Teenage Mutant Ninja Turtles: Out of the Shadows ;Dave Green;2016;135000000; 81638674;6,3
Fantastic Four ;Josh Trank;2015;120000000; 56114221;4,3
Night at the Museum ;Shawn Levy;2006;110000000;250863268;6,4
San Andreas ;Brad Peyton;2015;110000000;155181732;6,1
Tomorrow Never Dies ;Roger Spottiswoode;1997;110000000;125332007;6,5
The Patriot ;Roland Emmerich;2000;110000000;113330342;7,1
Ocean's Twelve ;Steven Soderbergh;2004;110000000;125531634;6,4
Mr. & Mrs. Smith ;Doug Liman;2005;120000000;186336103;6,5
Insurgent ;Robert Schwentke;2015;110000000;129995817;6,3
The Aviator ;Martin Scorsese;2004;110000000;102608827;7,5
Gulliver's Travels ;Rob Letterman;2010;112000000; 42776259;4,9
The Green Hornet ;Michel Gondry;2011;120000000; 98780042;5,8
300: Rise of an Empire ;Noam Murro;2014;110000000;106369117;6,2
The Smurfs ;Raja Gosnell;2011;110000000;142614158;5,5
Home on the Range ;Will Finn;2004;110000000; 50026353;5,4
Allegiant ;Robert Schwentke;2016;110000000; 66002193;5,8
Real Steel ;Shawn Levy;2011;110000000; 85463309;7,1
The Smurfs 2 ;Raja Gosnell;2013;105000000; 71017784;5,4
Speed 2: Cruise Control ;Jan de Bont;1997;160000000; 48068396;3,7
Ender's Game ;Gavin Hood;2013;110000000; 61656849;6,7
Live Free or Die Hard ;Len Wiseman;2007;110000000;134520804;7,2
The Lord of the Rings: The Fellowship of the Ring ;Peter Jackson;2001; 93000000;313837577;8,8
Around the World in 80 Days ;Frank Coraci;2004;110000000; 24004159;5,8
Ali ;Michael Mann;2001;107000000; 58183966;6,8
The Cat in the Hat ;Bo Welch;2003;109000000;100446895;3,8
I, Robot ;Alex Proyas;2004;120000000;144795350;7,1
Kingdom of Heaven ;Ridley Scott;2005;130000000; 47396698;7,2
Stuart Little ;Rob Minkoff;1999;133000000;140015224;5,9
The Princess and the Frog ;Ron Clements;2009;105000000;104374107;7,1
The Martian ;Ridley Scott;2015;108000000;228430993;8,1
The Island ;Michael Bay;2005;126000000; 35799026;6,9
Town & Country ;Peter Chelsom;2001; 90000000;  6712451;4,4
Gone in Sixty Seconds ;Dominic Sena;2000; 90000000;101643008;6,5
Gladiator ;Ridley Scott;2000;103000000;187670866;8,5
Minority Report ;Steven Spielberg;2002;102000000;132014112;7,7
Harry Potter and the Chamber of Secrets ;Chris Columbus;2002;100000000;261970615;7,4
Casino Royale ;Martin Campbell;2006;150000000;167007184;8,0
Planet of the Apes ;Tim Burton;2001;100000000;180011740;5,7
Terminator 2: Judgment Day ;James Cameron;1991;102000000;204843350;8,5
Public Enemies ;Michael Mann;2009;100000000; 97030725;7,0
American Gangster ;Ridley Scott;2007;100000000;130127620;7,8
True Lies ;James Cameron;1994;115000000;146282411;7,2
The Taking of Pelham 1 2 3 ;Tony Scott;2009;100000000; 65452312;6,4
Little Fockers ;Paul Weitz;2010;100000000;148383780;5,5
The Other Guys ;Adam McKay;2010;100000000;119219978;6,7
Eraser ;Chuck Russell;1996;100000000;101228120;6,1
Django Unchained ;Quentin Tarantino;2012;100000000;162804648;8,5
The Hunchback of Notre Dame ;Gary Trousdale;1996;100000000;100117603;6,9
The Emperor's New Groove ;Mark Dindal;2000;100000000; 89296573;7,3
The Expendables 2 ;Simon West;2012; 92000000; 85017401;6,7
National Treasure ;Jon Turteltaub;2004;100000000;173005002;6,9
Eragon ;Stefen Fangmeier;2006;100000000; 75030163;5,1
Where the Wild Things Are ;Spike Jonze;2009;100000000; 77222184;6,8
Pan ;Joe Wright;2015;150000000; 34964818;5,8
Epic ;Chris Wedge;2013;100000000;107515297;6,7
The Tourist ;Florian Henckel von Donnersmarck;2010;100000000; 67631157;6,0
End of Days ;Peter Hyams;1999; 83000000; 66862068;5,7
Blood Diamond ;Edward Zwick;2006;100000000; 57366262;8,0
The Wolf of Wall Street ;Martin Scorsese;2013;100000000;116866727;8,2
Batman Forever ;Joel Schumacher;1995;100000000;184031112;5,4
Starship Troopers ;Paul Verhoeven;1997;105000000; 54700065;7,2
Cloud Atlas ;Tom Tykwer;2012;102000000; 27098580;7,5
Legend of the Guardians: The Owls of Ga'Hoole ;Zack Snyder;2010; 80000000; 55673333;7,0
Catwoman ;Pitof;2004;100000000; 40198710;3,3
Hercules ;Brett Ratner;2014;100000000; 72660029;6,0
Treasure Planet ;Ron Clements;2002;140000000; 38120554;7,1
Land of the Lost ;Brad Silberling;2009;100000000; 49392095;5,4
The Expendables 3 ;Patrick Hughes;2014; 90000000; 39292022;6,1
Point Break ;Ericson Core;2015;105000000; 28772222;5,3
Son of the Mask ;Lawrence Guterman;2005; 84000000; 17010646;2,2
In the Heart of the Sea ;Ron Howard;2015;100000000; 24985612;7,0
The Adventures of Pluto Nash ;Ron Underwood;2002;100000000;  4411102;3,8
Green Zone ;Paul Greengrass;2010;100000000; 35024475;6,9
The Peanuts Movie ;Steve Martino;2015; 99000000;130174897;7,2
The Spanish Prisoner ;David Mamet;1997; 10000000; 10200000;7,3
The Mummy Returns ;Stephen Sommers;2001; 98000000;202007640;6,3
Gangs of New York ;Martin Scorsese;2002;100000000; 77679638;7,5
The Flowers of War ;Yimou Zhang;2011; 94000000;     9213;7,6
Surf's Up ;Ash Brannon;2007;100000000; 58867694;6,8
The Stepford Wives ;Frank Oz;2004; 90000000; 59475623;5,2
Black Hawk Down ;Ridley Scott;2001; 92000000;108638745;7,7
The Campaign ;Jay Roach;2012; 95000000; 86897182;6,2
The Fifth Element ;Luc Besson;1997; 93000000; 63540020;7,7
Sex and the City 2 ;Michael Patrick King;2010;100000000; 95328937;4,3
The Road to El Dorado ;Bibo Bergeron;2000; 95000000; 50802661;6,9
Ice Age: Continental Drift ;Steve Martino;2012; 95000000;161317423;6,6
Cinderella ;Kenneth Branagh;2015; 95000000;201148159;7,0
The Lovely Bones ;Peter Jackson;2009; 65000000; 43982842;6,7
Finding Nemo ;Andrew Stanton;2003; 94000000;380838870;8,2
The Lord of the Rings: The Return of the King ;Peter Jackson;2003; 94000000;377019252;8,9
The Lord of the Rings: The Two Towers ;Peter Jackson;2002; 94000000;340478898;8,7
Seventh Son ;Sergey Bodrov;2014; 95000000; 17176900;5,5
Lara Croft: Tomb Raider ;Simon West;2001;115000000;131144183;5,7
Transcendence ;Wally Pfister;2014;100000000; 23014504;6,3
Jurassic Park III ;Joe Johnston;2001; 93000000;181166115;5,9
Rise of the Planet of the Apes ;Rupert Wyatt;2011; 93000000;176740650;7,6
The Spiderwick Chronicles ;Mark Waters;2008; 90000000; 71148699;6,6
A Good Day to Die Hard ;John Moore;2013; 92000000; 67344392;5,3
The Alamo ;John Lee Hancock;2004;107000000; 22406362;6,0
The Incredibles ;Brad Bird;2004; 92000000;261437578;8,0
Cutthroat Island ;Renny Harlin;1995; 98000000; 11000000;5,6
Percy Jackson & the Olympians: The Lightning Thief ;Chris Columbus;2010; 95000000; 88761720;5,9
Men in Black ;Barry Sonnenfeld;1997; 90000000;250147615;7,3
Toy Story 2 ;John Lasseter;1999; 90000000;245823397;7,9
Unstoppable ;Tony Scott;2010;100000000; 81557479;6,8
Rush Hour 2 ;Brett Ratner;2001; 90000000;226138454;6,6
What Lies Beneath ;Robert Zemeckis;2000;100000000;155370362;6,6
Cloudy with a Chance of Meatballs ;Phil Lord;2009;100000000;124870275;7,0
Ice Age: Dawn of the Dinosaurs ;Carlos Saldanha;2009; 90000000;196573705;7,0
The Secret Life of Walter Mitty ;Ben Stiller;2013; 90000000; 58229120;7,3
Charlie's Angels ;McG;2000; 92000000;125305545;5,5
The Departed ;Martin Scorsese;2006; 90000000;132373442;8,5
Mulan ;Tony Bancroft;1998; 90000000;120618403;7,5
Tropic Thunder ;Ben Stiller;2008; 92000000;110416702;7,0
The Girl with the Dragon Tattoo ;David Fincher;2011; 90000000;102515793;7,8
Die Hard with a Vengeance ;John McTiernan;1995; 90000000;100012500;7,6
Sherlock Holmes ;Guy Ritchie;2009; 90000000;209019489;7,6
Atlantis: The Lost Empire ;Gary Trousdale;2001;120000000; 84037039;6,8
Alvin and the Chipmunks: The Road Chip ;Walt Becker;2015; 90000000; 85884815;5,0
Valkyrie ;Bryan Singer;2008; 75000000; 83077470;7,1
You Don't Mess with the Zohan ;Dennis Dugan;2008; 90000000;100018837;5,5
Pixels ;Chris Columbus;2015; 88000000; 78747585;5,6
A.I. Artificial Intelligence ;Steven Spielberg;2001;100000000; 78616689;7,1
The Haunted Mansion ;Rob Minkoff;2003; 90000000; 75817994;4,9
Contact ;Robert Zemeckis;1997; 90000000;100853835;7,4
Hollow Man ;Paul Verhoeven;2000; 95000000; 73209340;5,7
The Interpreter ;Sydney Pollack;2005; 80000000; 72515360;6,4
Percy Jackson: Sea of Monsters ;Thor Freudenthal;2013; 90000000; 68558662;5,9
Lara Croft Tomb Raider: The Cradle of Life ;Jan de Bont;2003; 95000000; 65653758;5,5
Now You See Me 2 ;Jon M. Chu;2016; 90000000; 64685359;6,9
The Saint ;Phillip Noyce;1997; 68000000; 61355436;6,2
Spy Game ;Tony Scott;2001; 92000000;    26871;7,0
Mission to Mars ;Brian De Palma;2000; 90000000; 60874615;5,6
Rio ;Carlos Saldanha;2011; 90000000;143618384;7,0
Bicentennial Man ;Chris Columbus;1999;100000000; 58220776;6,8
Volcano ;Mick Jackson;1997; 90000000; 47474112;5,4
The Devil's Own ;Alan J. Pakula;1997; 86000000; 42877165;6,1
K-19: The Widowmaker ;Kathryn Bigelow;2002;100000000; 35168677;6,7
Fantastic Four ;Josh Trank;2015;120000000; 56114221;4,3
Conan the Barbarian ;John Milius;1982; 20000000; 37567440;6,9
Cinderella Man ;Ron Howard;2005; 88000000; 61644321;8,0
The Nutcracker in 3D ;Andrey Konchalovskiy;2010; 90000000;   190562;4,4
Seabiscuit ;Gary Ross;2003; 87000000;120147445;7,3
Twister ;Jan de Bont;1996; 92000000;241688385;6,3
The Fast and the Furious ;Rob Cohen;2001; 38000000;144512310;6,7
Cast Away ;Robert Zemeckis;2000; 90000000;233630478;7,7
Happy Feet ;George Miller;2006;100000000;197992827;6,5
The Bourne Supremacy ;Paul Greengrass;2004; 75000000;176049130;7,8
Air Force One ;Wolfgang Petersen;1997; 85000000;172620724;6,4
Ocean's Eleven ;Steven Soderbergh;2001; 85000000;183405771;7,8
The Three Musketeers ;Paul W.S. Anderson;2011; 75000000; 20315324;5,8
Hotel Transylvania ;Genndy Tartakovsky;2012; 85000000;148313048;7,1
Enchanted ;Kevin Lima;2007; 85000000;127706877;7,1
Safe House ;Daniel Espinosa;2012; 85000000;126149655;6,8
102 Dalmatians ;Kevin Lima;2000; 85000000; 66941559;4,8
Tower Heist ;Brett Ratner;2011; 75000000; 78009155;6,2
The Holiday ;Nancy Meyers;2006; 85000000; 63224849;6,9
Enemy of the State ;Tony Scott;1998; 90000000;111544445;7,3
It's Complicated ;Nancy Meyers;2009; 85000000;112703470;6,6
Ocean's Thirteen ;Steven Soderbergh;2007; 85000000;117144465;6,9
Open Season ;Roger Allers;2006; 85000000; 84303558;6,2
Divergent ;Neil Burger;2014; 85000000;150832203;6,7
Enemy at the Gates ;Jean-Jacques Annaud;2001; 68000000; 51396781;7,6
